company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
IBM,Software Engineer,Male,Asian,L4,USA,USA,65000,5.0,5.0,3.0
IBM,Software Engineer,Male,Hispanic,L4,Mexico,South America,19000,4.0,1.0,3.0
IBM,Hardware Engineer,Male,Black,L4,USA,USA,113000,2.0,2.0,4.0
IBM,Data Scientist,Male,White,L4,Australia,Australia&New Zealand,93000,3.0,2.0,3.0
IBM,Software Engineer,Male,White,L4,USA,USA,131000,2.0,2.0,3.0
IBM,Software Engineer,Male,Asian,L4,USA,USA,120000,4.0,4.0,4.0
IBM,Sales,Female,Black,L4,USA,USA,137000,2.0,2.0,3.0
IBM,Software Engineer,Male,Hispanic,L4,USA,USA,123000,6.0,6.0,3.0
IBM,Software Engineer,Male,Unknown,L4,Canada,Canada,89000,8.0,5.0,3.0
IBM,Data Scientist,Male,White,L4,USA,USA,119000,6.0,3.0,5.0
IBM,Product Manager,Female,Asian,L4,USA,USA,105000,3.0,3.0,3.0
IBM,Software Engineer,Other,Unknown,L4,USA,USA,106000,5.0,5.0,3.0
IBM,Software Engineer,Male,Asian,L4,USA,USA,120000,3.0,3.0,4.0
IBM,Software Engineer,Male,White,L4,USA,USA,115000,2.0,1.0,3.0
IBM,Data Scientist,Male,Two Or More,L4,USA,USA,130000,3.0,0.0,5.0
IBM,Software Engineer,Female,Hispanic,L4,Canada,Canada,80000,2.0,2.0,3.0
IBM,Solution Architect,Other,Unknown,L4,USA,USA,142000,2.0,2.0,3.0
IBM,Software Engineer,Male,Asian,L4,USA,USA,125000,6.0,6.0,3.0
IBM,Software Engineer,Male,Asian,L4,Canada,Canada,82000,6.0,6.0,3.0
IBM,Software Engineer,Other,Unknown,L4,Canada,Canada,66000,6.0,2.0,4.0
IBM,Solution Architect,Male,Asian,L4,Taiwan,Eastern Asia,44000,3.0,1.0,4.0
other,Software Engineering Manager,Other,Unknown,L6,USA,USA,188000,4.0,4.0,4.0
IBM,Software Engineer,Other,Unknown,L4,USA,USA,137000,4.0,0.0,4.0
IBM,Software Engineer,Male,Asian,L4,Canada,Canada,96000,6.0,0.0,4.0
IBM,Software Engineer,Male,Unknown,L4,USA,USA,120000,3.0,3.0,3.0
IBM,Data Scientist,Female,Asian,L4,USA,USA,133000,4.0,4.0,3.0
IBM,Software Engineer,Female,Asian,L4,Taiwan,Eastern Asia,58000,9.0,6.0,4.0
IBM,Software Engineer,Male,Asian,L4,Taiwan,Eastern Asia,62000,2.0,2.0,4.0
other,Software Engineer,Other,Unknown,L4,Taiwan,Eastern Asia,60000,8.0,1.0,3.0
IBM,Software Engineer,Other,Unknown,L4,USA,USA,150000,5.0,3.0,4.0
IBM,Software Engineer,Male,Asian,L1,India,India,20000,6.0,2.0,3.0
IBM,Software Engineer,Male,Asian,L1,India,India,30000,9.0,2.0,3.0
IBM,Product Designer,Male,White,L5,USA,USA,134000,9.0,4.0,3.0
IBM,Software Engineer,Male,Hispanic,L5,USA,USA,125000,5.0,5.0,5.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,145000,10.0,6.0,4.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,165000,4.0,4.0,3.0
IBM,Software Engineer,Male,White,L5,Ireland,UK&IRE,107000,22.0,21.0,3.0
IBM,Solution Architect,Male,White,L5,Switzerland,Western Europe,200000,14.0,1.0,4.0
IBM,Software Engineer,Male,White,L5,USA,USA,125000,3.0,2.0,4.0
IBM,Product Manager,Other,Unknown,L5,USA,USA,168000,5.0,5.0,4.0
IBM,Software Engineer,Other,Unknown,L5,Canada,Canada,101000,3.0,3.0,3.0
other,Product Manager,Other,Unknown,L5,USA,USA,140000,15.0,10.0,4.0
IBM,Data Scientist,Female,Asian,L5,USA,USA,156000,10.0,2.0,4.0
IBM,Product Designer,Female,Two Or More,L5,USA,USA,160000,12.0,2.0,3.0
IBM,Software Engineer,Male,Hispanic,L5,USA,USA,110000,7.0,7.0,2.0
